price,location,bedroom,bathroom,garage,floorSize,propertyType
3350000.0,Vredehoek,2.0,2.0,2.0,78.0,Apartment
1395000.0,Diep River,2.0,1.5,2.0,78.0,Apartment
795000.0,Plumstead,1.0,1.0,1.0,52.0,Apartment
1150000.0,Gardens,0.5,1.0,,26.0,Apartment
1980000.0,Sea Point,1.0,1.0,,58.0,Apartment
4250000.0,Claremont Upper,3.0,2.5,2.0,156.0,Townhouse
11250000.0,Camps Bay,4.0,2.5,2.0,744.0,House
4295000.0,Woodstock,6.0,4.0,2.0,478.0,House
765000.0,Belhar,2.0,1.0,6.0,55.0,Apartment
1850000.0,Cape Town City Centre,2.0,2.0,1.0,60.0,Apartment
3750000.0,Rondebosch East,6.0,5.0,4.0,495.0,House
3400000.0,Kenilworth Upper,3.0,2.0,2.0,143.0,Apartment
1995000.0,Cape Town City Centre,1.0,1.0,1.0,35.0,Apartment
2795000.0,Kenilworth Upper,3.0,2.0,1.0,128.0,Apartment
1699000.0,Claremont,2.0,1.0,2.0,130.0,House
2900000.0,Wynberg Upper,4.0,4.5,2.0,176.0,Apartment
1675000.0,Gardens,0.5,1.0,,40.0,Apartment
2495000.0,Oranjezicht,2.0,1.0,1.0,85.0,Apartment
9900000.0,Newlands,4.0,3.0,6.0,,House
1350000.0,Wynberg,1.0,1.0,1.0,32.0,Apartment
3100000.0,Woodstock,2.0,2.0,1.0,172.0,House
3495000.0,Plumstead,4.0,2.0,3.0,496.0,House
1475000.0,Pinelands,2.0,1.5,2.0,57.0,Townhouse
5995000.0,Gardens,5.0,5.0,,212.0,House
6899000.0,Sea Point,2.0,2.0,2.0,190.0,Apartment
7195000.0,Gardens,3.0,3.0,1.0,363.0,House
4450000.0,De Waterkant,2.0,2.0,2.0,88.0,Apartment
1750000.0,Rondebosch,2.0,1.0,1.0,83.0,Apartment
7450000.0,Newlands,4.0,4.0,4.0,,House
1850000.0,Gardens,1.0,1.0,1.0,72.0,Apartment
8250000.0,Bantry Bay,3.0,2.5,1.0,238.0,Apartment
12500000.0,Green Point,3.0,3.0,3.0,129.0,Apartment
9950000.0,De Waterkant,3.0,3.0,,93.0,House
2850000.0,Claremont Upper,2.0,1.0,2.0,83.0,Apartment
1450000.0,Vredehoek,1.0,1.0,1.0,42.0,Apartment
8449000.0,Constantia,6.0,4.5,4.0,,House
10695000.0,Waterfront,2.0,2.0,2.0,126.0,Apartment
10900000.0,Sea Point,4.0,3.0,2.0,527.0,House
2400000.0,Mountview,3.0,3.0,4.0,421.0,House
9450000.0,Kenilworth Upper,6.0,3.0,2.0,,House
5500000.0,Cape Town City Centre,4.0,2.0,1.0,218.0,House
3590000.0,Cape Town City Centre,2.0,2.0,2.0,120.0,Apartment
3500000.0,Rondebosch,3.0,2.5,2.0,143.0,Townhouse
1995000.0,Plumstead,2.0,1.0,2.0,92.0,Apartment
1495000.0,Kirstenhof,3.0,2.0,1.0,72.0,Townhouse
2350000.0,Penlyn Estate,3.0,2.0,4.0,444.0,House
4600000.0,Green Point,7.0,5.0,,165.0,House
1350000.0,Cape Town City Centre,1.0,1.0,,52.0,Apartment
4200000.0,Vredehoek,3.0,2.0,2.0,129.0,Apartment
3100000.0,Plumstead,5.0,3.0,3.0,471.0,House
5440000.0,Claremont,3.0,2.0,1.0,397.0,House
32000000.0,Sea Point,4.0,4.5,2.0,616.0,Apartment
3750000.0,Wynberg Upper,2.0,2.0,2.0,100.0,Apartment
16000000.0,Constantia,4.0,4.0,4.0,,House
2050000.0,Cape Town City Centre,,1.0,1.0,45.0,Apartment
2450000.0,Oranjezicht,2.0,1.0,1.0,74.0,Apartment
12500000.0,Camps Bay,3.0,3.5,2.0,433.0,House
5950000.0,Claremont Upper,3.0,2.5,2.0,430.0,House
2295000.0,Lakeside,3.0,2.0,3.0,130.0,House
2750000.0,Claremont Upper,2.0,2.0,1.0,96.0,Apartment
2250000.0,Green Point,1.0,1.0,,63.0,Apartment
2580000.0,Gardens,3.0,1.0,,98.0,Apartment
1550000.0,Sea Point,1.0,1.0,1.0,46.0,Apartment
4500000.0,Rondebosch,4.0,3.0,5.0,517.0,House
3445000.0,Cape Town City Centre,3.0,2.0,,116.0,Apartment
1550000.0,Rondebosch,1.0,1.0,,62.0,Apartment
2450000.0,Foreshore,1.0,1.0,1.0,88.0,Apartment
2850000.0,Foreshore,1.0,1.0,1.0,55.0,Apartment
5050000.0,Foreshore,2.0,2.0,,91.0,Apartment
1995000.0,Claremont Upper,2.0,1.0,2.0,84.0,Apartment
9950000.0,Constantia,4.0,3.5,6.0,,House
1850000.0,Green Point,1.0,1.0,1.0,51.0,Apartment
2395000.0,Gardens,1.0,1.0,1.0,57.0,Apartment
5950000.0,Constantia,4.0,2.5,5.0,,House
4500000.0,Tamboerskloof,2.0,1.0,,194.0,House
1900000.0,Cape Town City Centre,0.5,1.0,1.0,35.0,Apartment
2250000.0,Pinelands,2.0,1.0,1.0,,Townhouse
3450000.0,Observatory,3.0,3.0,2.0,214.0,House
14995000.0,Stonehurst Mountain Estate,5.0,5.0,6.0,,House
4295000.0,Claremont Upper,2.0,2.0,2.0,129.0,Apartment
3300000.0,Pinelands,3.0,2.0,7.0,923.0,House
8000000.0,Oranjezicht,3.0,3.0,1.0,464.0,House
1049000.0,Rondebosch,1.0,1.0,,34.0,Apartment
1950000.0,Rondebosch,2.0,1.0,,128.0,House
2180000.0,Marina Da Gama,2.0,1.0,2.0,312.0,House
15000000.0,Constantia,4.0,4.0,5.0,,House
5650000.0,Sea Point,3.0,3.0,2.0,316.0,House
5195000.0,Sea Point,2.0,2.0,2.0,106.0,Apartment
5995000.0,Vredehoek,3.0,3.0,2.0,357.0,House
4750000.0,Wynberg Upper,4.0,3.0,3.0,535.0,House
3295000.0,Gardens,2.0,1.0,1.0,80.0,Apartment
3150000.0,Claremont Upper,2.0,2.5,2.0,81.0,Apartment
1850000.0,Kenilworth,2.0,1.0,2.0,104.0,Apartment
1995000.0,Harfield Village,2.0,2.0,2.0,111.0,Townhouse
1695000.0,Cape Town City Centre,1.0,1.0,1.0,57.0,Apartment
2795000.0,Kensington,4.0,2.0,2.0,490.0,House
5600000.0,Kreupelbosch,4.0,2.0,3.0,,House
3499000.0,Sea Point,2.0,2.0,1.0,86.0,Apartment
3295000.0,Observatory,3.0,2.0,2.0,274.0,House
1995000.0,Oranjezicht,1.0,1.0,,43.0,Apartment
1195000.0,Gardens,0.5,1.0,1.0,26.0,Apartment
17950000.0,Camps Bay,4.0,3.0,2.0,,House
1626000.0,Sea Point,1.0,1.0,1.0,43.0,Apartment
1525000.0,Sea Point,0.5,1.0,,44.0,Apartment
4950000.0,Rondebosch,4.0,2.0,7.0,991.0,House
2495000.0,Claremont,2.0,2.0,2.0,243.0,House
6750000.0,Sea Point,3.0,3.0,1.0,184.0,House
2450000.0,Gardens,2.0,1.0,3.0,68.0,Apartment
8738998.0,Oranjezicht,5.0,5.0,1.0,596.0,House
1245000.0,Woodstock,2.0,1.0,1.0,63.0,Apartment
1295000.0,Cape Town City Centre,0.5,1.0,,42.0,Apartment
1590000.0,Marina Da Gama,2.0,2.0,2.0,174.0,House
1350000.0,Newfields,3.0,1.0,5.0,352.0,House
2050000.0,Rosebank,2.0,1.0,,153.0,House
4950000.0,Claremont Upper,4.0,3.0,6.0,805.0,House
2250000.0,Cape Town City Centre,1.0,1.0,1.0,40.0,Apartment
7992500.0,Waterfront,2.0,2.5,2.0,102.0,Apartment
2500000.0,Gardens,2.0,1.0,1.0,97.0,Apartment
5700000.0,Rosebank,3.0,2.0,4.0,496.0,House
13500000.0,Waterfront,2.0,2.0,2.0,136.0,Apartment
9450000.0,Sea Point,2.0,1.0,,97.0,Apartment
11995000.0,Sea Point,3.0,3.0,2.0,240.0,Apartment
3950000.0,Tokai,3.0,2.0,4.0,496.0,House
7495000.0,Sea Point,3.0,3.0,2.0,124.0,Apartment
3599000.0,Green Point,2.0,1.0,3.0,84.0,Apartment
28000000.0,Waterfront,3.0,2.0,2.0,246.0,Apartment
2850000.0,Marina Da Gama,5.0,4.0,6.0,540.0,House
1050000.0,Kenilworth,1.0,1.0,1.0,46.0,Apartment
2195000.0,Vredehoek,1.0,1.0,,61.0,Apartment
4495000.0,Kenilworth,6.0,3.0,4.0,495.0,House
3895000.0,Bergvliet,3.0,3.0,7.0,862.0,House
19900000.0,Constantia,5.0,5.5,6.0,,House
